,Ano,Mes,Dia
0,2018,1,1
1,2018,1,2
2,2018,2,12
3,2018,2,13
4,2018,2,14
5,2018,3,30
6,2018,4,1
7,2018,4,21
8,2018,4,30
9,2018,5,1
10,2018,5,31
11,2018,6,1
12,2018,6,17
13,2018,6,22
14,2018,6,27
15,2018,7,2
16,2018,7,6
17,2018,9,7
18,2018,10,12
19,2018,11,2
20,2018,11,15
21,2018,11,16
22,2018,12,24
23,2018,12,25
24,2018,12,26
25,2018,12,31
26,2019,1,1
27,2019,1,2
28,2019,3,4
29,2019,3,5
30,2019,3,6
31,2019,4,19
32,2019,4,21
33,2019,5,1
34,2019,6,20
35,2019,6,21
36,2019,9,7
37,2019,10,12
38,2019,11,2
39,2019,11,15
40,2019,12,24
41,2019,12,25
42,2019,12,26
43,2019,12,31
44,2020,1,1
45,2020,1,2
46,2020,2,24
47,2020,2,25
48,2020,2,26
49,2020,4,10
50,2020,4,12
51,2020,4,20
52,2020,4,21
53,2020,5,1
54,2020,6,11
55,2020,6,12
56,2020,9,7
57,2020,10,12
58,2020,11,2
59,2020,12,24
60,2020,12,25
61,2020,12,26
62,2020,12,31
63,2021,1,1
64,2021,1,2
65,2021,2,15
66,2021,2,16
67,2021,2,17
68,2021,4,2
69,2021,4,4
70,2021,4,21
71,2021,5,1
72,2021,6,3
73,2021,6,4
74,2021,9,6
75,2021,9,7
76,2021,10,11
77,2021,10,12
78,2021,11,1
79,2021,11,2
80,2021,11,15
81,2021,12,24
82,2021,12,25
83,2021,12,26
84,2021,12,31
85,2022,1,1
86,2022,1,2
87,2022,2,28
88,2022,3,1
89,2022,3,2
90,2022,4,15
91,2022,4,17
92,2022,4,21
93,2022,4,22
94,2022,6,16
95,2022,6,17
96,2022,9,7
97,2022,10,12
98,2022,11,2
99,2022,11,14
100,2022,11,15
101,2023,2,20
102,2023,2,21
103,2023,2,22
104,2023,4,6
105,2023,4,7
106,2023,4,9
107,2023,4,21
108,2023,5,1
109,2023,6,8
110,2023,6,9
111,2023,9,7
112,2023,9,8
113,2023,10,12
114,2023,10,13
115,2023,11,2
116,2023,11,3
117,2023,11,15
118,2023,12,24
119,2023,12,25
120,2023,12,26
121,2023,12,31
122,2024,1,1
