Patamares;MLP;LSTM;GRU
Leve SECO;41827,296812500004;41522,142125;41166,838375
Media SECO;49455,39854166666;49150,590208333335;48985,284479166665
Pesada SECO;53555,170750000005;53040,95462499999;52520,114125
Leve S;12938,1674375;13339,453875000001;12778,6721875
Media S;16047,706354166667;16411,078020833334;15596,311875
Pesada S;18105,010125;18447,389875;17496,11275
Leve NE;11996,861937500002;12003,343499999999;11943,793125
Media NE;13383,662187499998;13350,697083333333;13339,205
Pesada NE;13946,568125;14013,786375000001;14020,204249999999
Leve N;6598,6984375;6652,400875000001;6464,538625
Media N;7161,929270833333;7184,0675;7105,736666666667
Pesada N;7491,3235;7508,883125;7453,25475
